category,recommendation,ciel codes,rule,caption,description,notes
screening,all patients should have their blood pressure checked every five years - reduced to one year by consensus,"117399 Hypertension, 5085 Systolic blood pressure","!is_known('age') || age>35 && (!is_known('sbp') || now().diff(last_updated('sbp'), 'weeks')>52)",Check blood pressure,All patients should should have their blood pressure checked annually.,reduced to one year by consensus
,"if a patients last blood pressure is close to 140/90, they should be screened more frequently",5086 Diastolic blood pressure,"!includes(conditions, 'HTN') && (sbp>=135 || dbp>85) && last_updated('sbp').add('months', 6) < now()",Check blood pressure,This patients previous blood reading was high so it should be checked again after six months.,
diagnosis,patients with two consecutive blood pressure readings greater than 140/90 should have a diagnosis of hypertension ,,"!includes(conditions, 'HTN') && ( ( sbp >= 140 && nth('sbp', 1) >= 140 ) || ( dbp >= 90 && nth('dbp', 1) >= 90 ) )",Possible hypertension,Patient has 2 blood pressure readings over 140/90 which indicates hypertension,rule doesnt stipulate how far apart the measurements should be
,"if a patient has a hypertension diagnosis, they should also have a hypertension grade",165583 Hypertension stage,"includes(conditions, 'HTN') && !is_known('htn_grade')",Missing hypertension grade,Need to grade the hypertension to help decide on the management options,this rule isnt required if grade is automatically calculated
investigations,fasting glucose,160912 Fasting blood glucose measurement (mg/dL),"includes(conditions, 'HTN') && (!is_known('fbs') || now().add(""years"", -1) > last_updated('fbs')) ",Check blood glucose,Patients with hypertension should have their blood glucose measured at least once a year,"FBS - If more than 126 mg/dl - check for symptoms - If positive - diabetes, if symptoms negative need to repeat the FBS or do HbA1c.  needs to also check for resting blood sugar and hba1c (one is sufficient)"
,lipid panel,1010 Lipid panel,"includes(conditions, 'HTN') && (!is_known('lipid_panel') || now().add(""years"", -1) > last_updated('lipid_panel')) ",Order lipid panel,Patients with hypertension should have their lipid panel done at least once a year,"Lipid panel - Total cholseterol will be important in calculating the CVD risk score. Need to get the total cholesterol value in mmols. If any of the lipid components is high, refer to the lipid guideline"
,serum creatinine / eGFR,"790 Serum creatinine (umol/L), 164364 Serum creatinine (mg/dL)","includes(conditions, 'HTN') && (!is_known('serum_creatinine') || now().add(""years"", -1) > last_updated('serum_creatinine')) ",Order serum creatinine,Patients with hypertension should have their serum creatinine measured at least once a year,"S. Creatinine + eGFR - If the eGFR is above 60 - can start any medication as planned, if the eGFR is low need to be cautious on the medications. Also, need to prompt to check the eGFR again in 3 weeks and decide whether the patient is having CKD, If the eGFR is <45, may need to confirm the value with a repeat test and refer the patient to the nephrologist"
,urinalysis,302 Urinalysis order,"includes(conditions, 'HTN') && (!is_known('urinalysis') || now().add(""years"", -1) > last_updated('urinalysis')) ",Order urinalysis,Patients with hypertension should have urinalysis at least once a year,Urinalysis - Check for urine protein / albumin - if present there may be hypertension mediated organ damage or chronic kidney disease. Need to check urine albumen creatinine ratio
,ECG,161157 12-lead electrocardiogram,"includes(conditions, 'HTN') && !is_known('ecg')",Order ECG,Patients with hypertension should have an ECG,"Check for evidence of ischemia - need urgent referral, Evidence of left ventricular hypertrophy - need referral"
,WHO-ISH risk prediction chart - 10 yr cardiovascular risk,163214 Cardiovascular risk score ?,"includes(conditions, 'HTN') && !is_known('who_cvd_risk')",Check WHO risk score,Patients with hypertension should have their WHO CVD risks score calculated,
,weight / BMI,"5089 Weight (kg), 1342 Body mass index","includes(conditions, 'HTN') && (!is_known('weight') || last_updated('weight').add('years', 1) < now()) ",Check weight,Patients with hypertension should have urinalysis at least once a year,
,electrolytes,5473 Serum electrolytes,"includes(conditions, 'HTN') && !is_known('serum_electrolytes')",Order electrolytes,Patients with hypertension should have their electrolytes measured,
referral,Hypertensive emergencies (BP ≥180/120 mmHg with HMOD),,(is_known('sbp') && sbp >= 180) || (is_known('dbp') && dbp >= 120),Emergency referral,Very high blood pressure.  Emergency referral indicated.,
follow-up,"Every 1–2 months until controlled, then annually",,"includes('conditions', 'Hypertension') && (sbp > sbp_target_max || sbp < sbp_target_min || dbp > dbp_target_max || dbp < dbp_target_min) && last_updated('sbp').date_add('months', 2) < now()",Check blood presure,"This patient has hypertension and their blood pressure is not yet controlled.  Until control is achieved, need to monitor within 1 months to 2 months time.",
,,,"includes('conditions', 'Hypertension') && (sbp <= sbp_target_max && sbp >= sbp_target_min && dbp <= dbp_target_max && dbp >= dbp_target_min) && last_updated('sbp').date_add('years', 1) < now()",Check blood pressure,This patient has hypertension and their blood pressure is controlled.  Monitoring can be spaced out to once in 3 months after achieving the control,
